1220688664343,=.net\u90E8\u95E8\u7684FTP,192.168.1.128,21,54
1220687673484,=\u672C\u5730\u8FDE\u63A5,192.168.1.128,21,mr
1220688633531,=C\#\u90E8\u95E8\u7684FTP,192.168.1.128,21,df
1220688555000,=VB\u90E8\u95E8\u7684FTP,192.168.1.128,21,mr
1220688712859,=\u7B56\u5212\u7528\u7684FTP,192.168.1.128,21,515
1220687777296,=\u5415\u6C0F\u7AD9\u70B9,192.168.1.200,21,111
1220688735828,=\u4EBA\u4E8B\u90E8\u7528\u7684FTP,192.168.1.128,21,45
1220688683312,=\u6D4B\u8BD5\u8FDE\u63A5,192.168.1.128,21,d
1220688647296,=ASP\u90E8\u95E8\u7684FTP,192.168.1.128,21,32
1220688587781,=VC\u90E8\u95E8\u7684FTP,192.168.1.128,21,mr
1220688568562,=Java\u90E8\u95E8\u7684FTP,192.168.1.128,21,me
1220687803531,=\u674E\u5DE5\u7684FTP,192.168.1.128,21,mr
1220687823734,=\u7ECF\u7406\u7684FTP\u7AD9\u70B9,192.168.1.128,21,mr
1220688389421,=\u7F8E\u5DE5\u7684FTP,192.168.1.128,21,mr
